Sl. No.,Company Name,Finance_Year,Ownership Type,Incorporation Year,Sales-Total Revenue,DICOP -Direct Indirect Cost of Production,VAE-Value Added Expenditure,OP-Operating Profit,TC-Total Cost,GP-Gross Profit,Arms Length Price/Transfer Price Indicator,Other Operating Income/Sales,Advertising & Marketing Sales
2948,Pix Transmissions Ltd.,201503,Indian Private Sector,1981,201.66,84.00,94.47,23.19,178.47,117.66,11%,,16%
2949,Planetview Mercantile Co. Pvt. Ltd.,201503,Indian Private Sector,2006,,,0.01,-0.01,0.01,,,0,0%
2950,Planter'S Polysacks Ltd.,201503,Indian Private Sector,1985,,,0.01,-0.01,0.01,,,0.01,0%
2951,Plastiblends India Ltd.,201503,Indian Private Sector,1991,495.50,355.93,94.68,44.89,450.61,139.57,9%,0.13,59%
2952,Poddar Developers Ltd.,201503,Indian Private Sector,1982,93.10,24.39,48.16,20.55,72.55,68.71,22%,,20%
2953,Poddar Habitat Pvt. Ltd.,201503,Indian Private Sector,2008,13.73,0.46,11.29,1.98,11.75,13.27,14%,,15%
2954,Poddar Infrastructure Pvt. Ltd.,201503,Indian Private Sector,2007,,,,,,,,,0%
2955,Poddar Leisure Infrastructure Pvt. Ltd.,201503,Indian Private Sector,2008,,,,,,,,0,0%
2956,Poddar Natural Resources & Ores Ltd.,201503,Indian Private Sector,2006,,,,,,,,9.13,0%
2957,Poddar Pigments Ltd.,201503,Indian Private Sector,1991,320.59,256.87,41.13,22.59,298.00,63.72,7%,6.93,44%
2958,Pofran Sales & Agency Ltd.,201412,Foreign Private Sector,2005,1.99,,0.17,1.82,0.17,1.99,91%,615.23,101%
2959,Pokarna Engineered Stone Ltd.,201503,Indian Private Sector,2001,142.95,76.78,33.82,32.35,110.60,66.17,23%,43.66,12%
2960,Pokarna Ltd.,201503,Indian Private Sector,1991,191.67,58.46,97.09,36.12,155.55,133.21,19%,3.37,16%
2961,Polaris Consulting & Services Ltd.,201503,Indian Private Sector,1993,1683.74,1.77,1519.08,162.89,1520.85,1681.97,10%,67.11,101%
2962,Polychem Ltd.,201503,Indian Private Sector,1955,17.79,10.57,6.10,1.12,16.67,7.22,6%,1014.43,79%
2963,Polycon International Ltd.,201503,Indian Private Sector,1991,38.41,24.90,10.96,2.55,35.86,13.51,7%,402.72,32%
2964,Polygenta Technologies Ltd.,201503,Indian Private Sector,1981,64.46,53.99,57.56,-47.09,111.55,10.47,-73%,0,346%
2965,Polylink Polymers (India) Ltd.,201503,Indian Private Sector,1993,37.81,27.27,8.68,1.86,35.95,10.54,5%,102.64,72%
2966,Polyplex Corporation Ltd.,201503,Indian Private Sector,1984,1068.52,786.39,260.11,22.02,1046.50,282.13,2%,,70%
2967,Polyspin Exports Ltd.,201503,Indian Private Sector,1985,143.86,91.83,42.11,9.92,133.94,52.03,7%,52.87,99%
2968,Pond'S Exports Ltd.,201503,Foreign Private Sector,1979,141.94,93.71,43.14,5.09,136.85,48.23,4%,,86%
2969,Pondy Oxides & Chemicals Ltd.,201503,Indian Private Sector,1995,374.65,339.58,18.42,16.65,358.00,35.07,4%,,38%
2970,Ponni Sugars (Erode) Ltd.,201503,Indian Private Sector,1996,168.65,119.74,49.80,-0.89,169.54,48.91,-1%,3419.06,76%
2971,Poona Dal & Oil Inds. Ltd.,201503,Indian Private Sector,1993,185.94,166.79,17.86,1.29,184.65,19.15,1%,,4%
2972,Porwal Auto Components Ltd.,201503,Indian Private Sector,1992,72.55,43.95,25.23,3.37,69.18,28.60,5%,0.1,50%
2973,Potential Invst. & Finance Ltd.,201503,Indian Private Sector,1983,60.18,57.64,1.94,0.60,59.58,2.54,1%,1468.56,2%
2974,Powai Real Estate Developers Ltd.,201503,Indian Private Sector,2009,,,,,,,,33.43,0%
2975,Power Finance Corpn. Ltd.,201503,Central Government,1986,199.73,7.15,1988.09,-1795.51,1995.24,192.58,-899%,,301%
2976,Power Grid Corpn. Of India Ltd.,201503,Central Government,1989,17249.61,8.87,7653.52,9587.22,7662.39,17240.74,56%,0.01,522%
2977,Prachit Holdings Ltd.,201503,Foreign Private Sector,1992,,,,,,,,165.33,0%
2978,Pradeep Metals Ltd.,201503,Indian Private Sector,1982,130.62,73.20,45.06,12.36,118.26,57.42,9%,,95%
2979,Pradip Overseas Ltd.,201503,Indian Private Sector,2005,243.79,217.36,341.31,-314.88,558.67,26.43,-129%,10.96,53%
2980,Prag Agro Farm Ltd.,201503,Foreign Private Sector,1997,0.03,0.00,0.11,-0.08,0.11,0.03,-267%,43.26,0%
2981,Prag Bosimi Synthetics Ltd.,201503,Joint Sector,1987,1.60,1.40,17.87,-17.67,19.27,0.20,-1104%,,21%
2982,Praj Hipurity Systems Ltd.,201503,Indian Private Sector,2007,161.60,103.73,40.85,17.02,144.58,57.87,11%,,31%
2983,Praj Industries Ltd.,201503,Indian Private Sector,1985,778.15,398.12,341.13,38.90,739.25,380.03,5%,,83%
2984,Prakash Constrowell Ltd.,201503,Indian Private Sector,1996,128.17,4.09,115.06,9.02,119.15,124.08,7%,0,2%
2985,Prakash Industries Ltd.,201503,Indian Private Sector,1980,2837.39,2012.15,513.83,311.41,2525.98,825.24,11%,,59%
2986,Prakash Woollen & Synthetic Mills Ltd.,201503,Indian Private Sector,1979,88.28,62.92,20.33,5.03,83.25,25.36,6%,0,45%
2987,Pranavaditya Spinning Mills Ltd.,201503,Indian Private Sector,1990,65.49,46.59,17.77,1.13,64.36,18.90,2%,0.89,39%
2988,Pranay Holdings Ltd.,201503,Foreign Private Sector,1992,,,,,,,,0,0%
2989,Pravara Renewable Energy Ltd.,201409,Indian Private Sector,2008,,,0.02,-0.02,0.02,,,251.06,0%
2990,Precision Electronics Ltd.,201503,Indian Private Sector,1979,27.58,9.22,17.53,0.83,26.75,18.36,3%,,63%
2991,Precision Seals Mfg. Ltd.,201503,Foreign Private Sector,1989,46.61,17.18,29.82,-0.39,47.00,29.43,-1%,0,39%
2992,Precision Wires India Ltd.,201503,Indian Private Sector,1989,880.63,767.01,85.93,27.69,852.94,113.62,3%,,22%
2993,Precot Meridian Energy Ltd.,201503,Indian Private Sector,2002,,,,,,,,1.64,0%
2994,Precot Meridian Ltd.,201503,Indian Private Sector,1962,731.58,473.54,273.09,-15.05,746.63,258.04,-2%,,84%
2995,Preeti Townships Pvt. Ltd.,201409,Indian Private Sector,2007,,0.02,,-0.02,0.02,-0.02,,0,0%
2996,Premco Global Ltd.,201503,Indian Private Sector,1986,73.32,31.96,22.19,19.17,54.15,41.36,26%,0,88%
2997,Premier Capital Services Ltd.,201503,Indian Private Sector,1983,0.22,,0.18,0.04,0.18,0.22,18%,0,9%
2998,Premier Energy & Infrastructure Ltd.,201406,Indian Private Sector,1988,33.93,0.06,27.33,6.54,27.39,33.87,19%,0,28%
2999,Premier Explosives Ltd.,201503,Indian Private Sector,1980,149.21,84.65,55.10,9.46,139.75,64.56,6%,,40%
3000,Premier Ltd.,201503,Indian Private Sector,1944,167.21,89.35,88.74,-10.88,178.09,77.86,-7%,0,16%
3001,Premier Polyfilm Ltd.,201503,Indian Private Sector,1992,84.81,61.72,18.78,4.31,80.50,23.09,5%,2.23,51%
3002,Premier Synthetics Ltd.,201503,Indian Private Sector,1970,16.16,2.88,11.61,1.67,14.49,13.28,10%,1.36,88%
3003,Premier Tissues India Ltd.,201406,Indian Private Sector,1998,52.30,25.01,24.81,2.48,49.82,27.29,5%,35.14,87%
3004,Pressman Advertising Ltd.,201503,Indian Private Sector,1983,40.17,0.01,35.58,4.58,35.59,40.16,11%,0,1%
3005,Prestige Estates Projects Ltd.,201503,Indian Private Sector,1997,2356.69,-726.80,2517.87,565.62,1791.07,3083.49,24%,,27%
3006,Pricol Castings Ltd.,201503,Indian Private Sector,1994,22.89,22.10,18.09,-17.30,40.19,0.79,-76%,,59%
3007,Pricol Ltd.,201503,Indian Private Sector,1972,950.73,660.59,298.33,-8.19,958.92,290.14,-1%,241.22,35%
3008,Prima Plastics Ltd.,201503,Indian Private Sector,1993,86.62,60.20,22.91,3.51,83.11,26.42,4%,83.5,45%
3009,Prime Capital Market Ltd.,201503,Indian Private Sector,1994,,,0.12,-0.12,0.12,,,0.73,0%
3010,Prime Focus Ltd.,201406,Indian Private Sector,1997,311.98,0.34,384.59,-72.95,384.93,311.64,-23%,0.01,16%
3011,Prime Industries Ltd.,201503,Indian Private Sector,1992,1.03,,0.14,0.89,0.14,1.03,86%,,1%
3012,Prime Property Devp. Corpn. Ltd.,201503,Indian Private Sector,1992,25.16,16.97,3.38,4.81,20.35,8.19,19%,0.18,11%
3013,Prime Securities Ltd.,201503,Indian Private Sector,1982,8.60,0.01,4.23,4.36,4.24,8.59,51%,,48%
3014,Prime Urban Devp. India Ltd.,201503,Indian Private Sector,1936,50.69,36.00,7.91,6.78,43.91,14.69,13%,,368%
3015,Prism Cement Ltd.,201503,Indian Private Sector,1992,5585.39,2686.18,2764.96,134.25,5451.14,2899.21,2%,115.01,62%
3016,Prism Finance Ltd.,201503,Indian Private Sector,1994,0.84,0.75,0.19,-0.10,0.94,0.09,-12%,0.43,37%
3017,Prism Informatics Ltd.,201503,Indian Private Sector,1982,12.42,,15.93,-3.51,15.93,12.42,-28%,2.81,70%
3018,Pritish Nandy Communications Ltd.,201503,Indian Private Sector,1993,1.30,-13.33,20.50,-5.87,7.17,14.63,-452%,0.02,16%
3019,Priya International Ltd.,201503,Indian Private Sector,1995,9.30,5.67,3.29,0.34,8.96,3.63,4%,6.9,28%
3020,Priya Ltd.,201503,Indian Private Sector,1986,132.93,123.13,7.00,2.80,130.13,9.80,2%,70.58,55%
3021,Prize Petroleum Co. Ltd.,201503,Central Government,1998,8.97,,9.19,-0.22,9.19,8.97,-2%,,16%
3022,Procter & Gamble Hygiene & Health Care Ltd.,201406,Foreign Private Sector,1964,2061.59,824.74,837.09,399.76,1661.83,1236.85,19%,0,49%
3023,Professional Access Software Devp. Pvt. Ltd.,201503,Indian Private Sector,2002,30.34,,30.38,-0.04,30.38,30.34,0%,0,95%
3024,Progressive Extractions & Exports Ltd.,201503,Indian Private Sector,1981,,,0.09,-0.09,0.09,,,0.2,0%
3025,Promact Plastics Ltd.,201503,Indian Private Sector,1985,0.07,0.15,0.14,-0.22,0.29,-0.08,-314%,,21%
3026,Provogue (India) Ltd.,201503,Indian Private Sector,1997,542.75,511.69,82.19,-51.13,593.88,31.06,-9%,,29%
3027,Prozone Intu Properties Ltd.,201503,Indian Private Sector,2007,8.13,0.02,10.97,-2.86,10.99,8.11,-35%,1.69,51%
3028,Pudumjee Industries Ltd.,201503,Indian Private Sector,1965,157.01,104.41,45.58,7.02,149.99,52.60,4%,30.66,22%
3029,Pudumjee Investment & Finance Co. Ltd.,201503,Indian Private Sector,1991,,,0.01,-0.01,0.01,,,,0%
3030,Pudumjee Paper Products Ltd.,201503,Indian Private Sector,2015,,,,,,,,,0%
3031,Pudumjee Pulp & Paper Mills Ltd.,201503,Indian Private Sector,1964,277.99,159.38,109.32,9.29,268.70,118.61,3%,,42%
3032,Punctual Trading Ltd.,201503,Indian Private Sector,1986,0.06,0.00,0.06,0.00,0.06,0.06,0%,0,500%
3033,Pune Sholapur Road Devp. Co. Ltd.,201503,Indian Private Sector,2009,,0.01,0.24,-0.25,0.25,-0.01,,57.4,0%
3034,Pune-Paud Toll Road Co. Ltd.,201503,Indian Private Sector,2005,0.00,,0.02,-0.02,0.02,0.00,,0,0%
3035,Punit Commercials Ltd.,201503,Indian Private Sector,1984,3.37,3.46,0.47,-0.56,3.93,-0.09,-17%,0,19%
3036,Punj Lloyd Ltd.,201503,Indian Private Sector,1988,5060.05,2595.85,2841.93,-377.73,5437.78,2464.20,-7%,,86%
3037,Punj Lloyd Upstream Ltd.,201503,Indian Private Sector,2007,81.58,27.83,56.19,-2.44,84.02,53.75,-3%,13.82,350%
3038,Punjab & Sind Bank,201503,Central Government,1908,114.42,,1975.99,-1861.57,1975.99,114.42,-1627%,,12%
3039,Punjab Chemicals & Crop Protection Ltd.,201503,Indian Private Sector,1975,418.92,250.02,136.11,32.79,386.13,168.90,8%,0.02,16%
3040,Punjab Communications Ltd.,201503,State Government,1981,20.89,11.48,28.44,-19.03,39.92,9.41,-91%,,23%
3041,Punjab National Bank,201503,Central Government,1895,4510.74,,20323.74,-15813.00,20323.74,4510.74,-351%,201.35,50%
3042,Puravankara Projects Ltd.,201503,Indian Private Sector,1986,1209.51,578.58,374.17,256.76,952.75,630.93,21%,2.24,14%
3043,Puregene Biotech Ltd.,201503,Indian Private Sector,1998,0.45,,0.39,0.06,0.39,0.45,13%,,302%
3044,Purnachandra Properties Pvt. Ltd.,201503,Indian Private Sector,2007,,0.01,0.03,-0.04,0.04,-0.01,,,0%
3045,Purshottam Investofin Ltd.,201503,Indian Private Sector,1988,0.00,0.00,0.17,-0.17,0.17,0.00,,,0%
3046,Quadrant Televentures Ltd.,201503,Indian Private Sector,1946,523.39,11.11,727.83,-215.55,738.94,512.28,-41%,2.86,101%
3047,Quantum Asset Mgmt. Co. Pvt. Ltd.,201406,Indian Private Sector,2005,18.20,0.03,13.79,4.38,13.82,18.17,24%,0,87%
3048,Quantum Digital Vision (India) Ltd.,201503,Indian Private Sector,1980,0.59,0.00,0.90,-0.31,0.90,0.59,-53%,0,302%
3049,Quantum Knits Pvt. Ltd.,201503,Indian Private Sector,2009,209.26,178.65,6.57,24.04,185.22,30.61,11%,55.62,87%
3050,Quess Corp Ltd.,201503,Foreign Private Sector,2007,2376.69,56.89,2202.36,117.44,2259.25,2319.80,5%,,5%
3051,Quick Flight Ltd.,201503,Indian Private Sector,2007,3.77,1.57,1.38,0.82,2.95,2.20,22%,0,13%
3052,Quintegra Solutions Ltd.,201503,Indian Private Sector,1994,1.31,0.03,1.96,-0.68,1.99,1.28,-52%,0.14,376%
3053,R & B Denims Ltd.,201503,Indian Private Sector,2010,156.33,124.62,26.34,5.37,150.96,31.71,3%,0,25%
3054,R B L Bank Ltd.,201503,Indian Private Sector,1933,105.82,,666.01,-560.19,666.01,105.82,-529%,0,16%
3055,R D B Rasayans Ltd.,201503,Indian Private Sector,1995,65.37,47.53,16.19,1.65,63.72,17.84,3%,0,36%
3056,R D B Realty & Infrastructure Ltd.,201503,Indian Private Sector,2006,34.52,14.78,22.05,-2.31,36.83,19.74,-7%,9.97,24%
3057,R E C Transmission Projects Co. Ltd.,201503,Central Government,2007,64.31,,2.08,62.23,2.08,64.31,97%,,3%
3058,R E L Infrafacilities Ltd.,201503,Indian Private Sector,2007,27.85,0.02,28.69,-0.86,28.71,27.83,-3%,4.82,7%
3059,R G A M Invst. Advisers Pvt. Ltd.,201503,Indian Private Sector,2004,4.28,0.80,4.20,-0.72,5.00,3.48,-17%,,16%
3060,R J Bio-Tech Ltd.,201503,Indian Private Sector,2005,31.67,8.41,18.10,5.16,26.51,23.26,16%,28.26,73%
3061,R M C Readymix Porselano (India) Ltd.,201503,Indian Private Sector,2006,,,,,,,,,0%
3062,R N B Inds. Ltd.,201503,Indian Private Sector,1994,0.00,,2.52,-2.52,2.52,0.00,,,0%
3063,R P G Life Sciences Ltd.,201503,Indian Private Sector,2007,248.04,92.21,148.75,7.08,240.96,155.83,3%,0.52,82%
3064,R P P Infra Projects Ltd.,201503,Indian Private Sector,1995,266.00,55.58,179.96,30.46,235.54,210.42,11%,,12%
3065,R R B Investments Pvt. Ltd.,201503,Indian Private Sector,2007,,,0.05,-0.05,0.05,,,0.3,0%
3066,R R Financial Consultants Ltd.,201406,Indian Private Sector,1986,2.69,0.06,0.68,1.95,0.74,2.63,72%,2.98,25%
3067,R R Real Estate Development Pvt. Ltd.,201503,Indian Private Sector,2007,,,2.82,-2.82,2.82,,,,0%
3068,R S C International Ltd.,201503,Indian Private Sector,1993,0.09,,0.06,0.03,0.06,0.09,33%,,22%
3069,R S I L Holdings Pvt. Ltd.,201503,Indian Private Sector,2014,,0.04,,-0.04,0.04,-0.04,,0.81,0%
3070,R S Software (India) Ltd.,201503,Indian Private Sector,1987,347.54,2.23,258.22,87.09,260.45,345.31,25%,23.17,103%
3071,R S W M Ltd.,201503,Indian Private Sector,1994,3102.45,1971.35,887.26,243.84,2858.61,1131.10,8%,,70%
3072,R Systems International Ltd.,201412,Foreign Private Sector,1993,301.22,0.53,248.12,52.57,248.65,300.69,17%,,100%
3073,R T C L Ltd.,201503,Indian Private Sector,1994,4.91,-5.34,9.47,0.78,4.13,10.25,16%,,62%
3074,R T M Invst. & Trdg. Co. Ltd.,201503,Indian Private Sector,1994,0.00,,0.06,-0.06,0.06,0.00,,,0%
3075,R T M Properties Ltd.,201503,Indian Private Sector,1995,0.00,0.01,0.78,-0.79,0.79,-0.01,,22.31,0%
3076,R T S Power Corpn. Ltd.,201503,Indian Private Sector,1947,167.57,140.81,15.55,11.21,156.36,26.76,7%,,15%
3077,R V T Media Pvt. Ltd.,201503,Indian Private Sector,2007,0.02,,0.04,-0.02,0.04,0.02,-100%,1.67,0%
3078,Radaan Mediaworks India Ltd.,201503,Indian Private Sector,1999,35.56,-0.11,33.36,2.31,33.25,35.67,6%,0,14%
3079,Radico Khaitan Ltd.,201503,Indian Private Sector,1983,1485.53,773.05,570.86,141.62,1343.91,712.48,10%,,86%
3080,Rado Tyres Ltd.,201503,Indian Private Sector,1986,11.54,0.35,11.30,-0.11,11.65,11.19,-1%,,54%
3081,Raghunath International Ltd.,201503,Indian Private Sector,1994,2.49,0.70,1.54,0.25,2.24,1.79,10%,,6%
3082,Raghuvansh Agrofarms Ltd.,201503,Indian Private Sector,1996,1.79,0.37,1.16,0.26,1.53,1.42,15%,7.12,16%
3083,Raigad Industrial & Business Park Ltd.,201503,Indian Private Sector,2009,,,0.01,-0.01,0.01,,,2.09,0%
3084,Raiganj-Dalkhola Highways Ltd.,201503,Indian Private Sector,2010,,,,,,,,,0%
3085,Rain C I I Carbon (Vizag) Ltd.,201412,Indian Private Sector,2008,1156.84,862.89,126.81,167.14,989.70,293.95,14%,13.87,67%
3086,Rain Cements Ltd.,201412,Indian Private Sector,1999,877.44,210.76,658.03,8.65,868.79,666.68,1%,,16%
3087,Rain Industries Ltd.,201412,Indian Private Sector,1974,14.25,0.18,20.55,-6.48,20.73,14.07,-45%,0,94%
3088,Rainbow Denim Ltd.,201503,Indian Private Sector,1999,168.71,125.01,53.00,-9.30,178.01,43.70,-6%,0,29%
3089,Raj Packaging Inds. Ltd.,201503,Indian Private Sector,1987,45.14,37.89,4.33,2.92,42.22,7.25,6%,23.85,16%
3090,Raj Rayon Inds. Ltd.,201503,Indian Private Sector,1993,181.19,181.33,81.93,-82.07,263.26,-0.14,-45%,,208%
3091,Raj Television Network Ltd.,201503,Indian Private Sector,1994,82.57,0.18,63.84,18.55,64.02,82.39,22%,,80%
3092,Raj Westpower Ltd.,201503,Indian Private Sector,1996,2642.39,1086.60,509.84,1045.95,1596.44,1555.79,40%,0,224%
3093,Raja Bahadur Intl. Ltd.,201503,Indian Private Sector,1925,38.47,19.04,13.50,5.93,32.54,19.43,15%,,42%
3094,Raja Dates Ltd.,201503,Indian Private Sector,2010,,,0.04,-0.04,0.04,,,,0%
3095,Rajagiri Rubber & Produce Co. Ltd.,201503,Indian Private Sector,1938,24.56,7.46,22.85,-5.75,30.31,17.10,-23%,0.05,54%
3096,Rajahmundry Expressway Ltd.,201409,Indian Private Sector,2001,44.54,,30.41,14.13,30.41,44.54,32%,,12%
3097,Rajahmundry Godavari Bridge Ltd.,201409,Indian Private Sector,2008,,,0.00,0.00,0.00,,,0.2,0%
3098,Rajapalayam Mills Ltd.,201503,Indian Private Sector,1936,388.70,215.99,142.94,29.77,358.93,172.71,8%,32.39,91%
3099,Rajasthan Collieries Ltd.,201503,Indian Private Sector,2012,,,0.01,-0.01,0.01,,,186.79,0%
3100,Rajasthan Cylinders & Containers Ltd.,201503,Indian Private Sector,1980,50.82,44.22,8.53,-1.93,52.75,6.60,-4%,7.42,15%
3101,Rajasthan Gases Ltd.,201503,Indian Private Sector,1993,0.00,,0.04,-0.04,0.04,0.00,,,0%
3102,Rajasthan Rashtriya Chemicals & Fertilisers Ltd.,201503,Central Government,2007,,,0.01,-0.01,0.01,,,,0%
3103,Rajasthan Tube Mfg. Co. Ltd.,201503,Indian Private Sector,1985,92.23,89.68,2.18,0.37,91.86,2.55,0%,4.39,2%
3104,Rajdarshan Industries Ltd.,201503,Indian Private Sector,1980,1.81,0.02,1.53,0.26,1.55,1.79,14%,,87%
3105,Rajesh Exports Ltd.,201503,Indian Private Sector,1995,37960.00,37204.07,22.38,733.55,37226.45,755.93,2%,0,45%
3106,Rajeswari Infrastructure Ltd.,201503,Indian Private Sector,1993,4.09,0.89,5.01,-1.81,5.90,3.20,-44%,0,299%
3107,Rajkamal Synthetics Ltd.,201503,Indian Private Sector,1981,,,0.06,-0.06,0.06,,,0.31,0%
3108,Rajkumar Forge Ltd.,201503,Indian Private Sector,1990,28.74,11.17,14.87,2.70,26.04,17.57,9%,231.76,16%
3109,Rajoo Engineers Ltd.,201503,Indian Private Sector,1986,116.52,81.20,27.50,7.82,108.70,35.32,7%,1.14,47%
3110,Rajputana Investment & Finance Ltd.,201503,Indian Private Sector,1941,12.07,12.00,0.18,-0.11,12.18,0.07,-1%,0,0%
3111,Rajratan Global Wire Ltd.,201503,Indian Private Sector,1988,240.12,177.90,44.54,17.68,222.44,62.22,7%,2.39,23%
3112,Rajshree Sugars & Chemicals Ltd.,201503,Indian Private Sector,1985,572.50,463.58,129.31,-20.39,592.89,108.92,-4%,0.05,96%
3113,Rajvir Industries Ltd.,201503,Indian Private Sector,2004,101.88,46.25,51.88,3.75,98.13,55.63,4%,0.06,16%
3114,Rallis Chemistry Exports Ltd.,201503,Indian Private Sector,2009,,,0.00,0.00,0.00,,,,0%
3115,Rallis India Ltd.,201503,Indian Private Sector,1948,1521.23,900.42,410.22,210.59,1310.64,620.81,14%,,67%
3116,Ram Ratna Wires Ltd.,201503,Indian Private Sector,1992,742.35,666.24,48.22,27.89,714.46,76.11,4%,,15%
3117,Rama Petrochemicals Ltd.,201503,Indian Private Sector,1985,6.09,1.27,32.30,-27.48,33.57,4.82,-451%,450.38,18%
3118,Rama Phosphates Ltd.,201503,Indian Private Sector,1984,399.18,309.22,94.50,-4.54,403.72,89.96,-1%,6.18,28%
3119,Rama Pulp & Papers Ltd.,201503,Indian Private Sector,1980,94.45,66.77,23.65,4.03,90.42,27.68,4%,,21%
3120,Rama Vision Ltd.,201503,Indian Private Sector,1993,41.72,32.20,8.57,0.95,40.77,9.52,2%,7.97,28%
3121,Ramco Cements Ltd.,201503,Indian Private Sector,1957,3701.17,892.66,2264.10,544.41,3156.76,2808.51,15%,,16%
3122,Ramco Industries Ltd.,201503,Indian Private Sector,1965,747.29,482.98,236.95,27.36,719.93,264.31,4%,,65%
3123,Ramco Systems Ltd.,201503,Indian Private Sector,1997,222.97,4.59,204.87,13.51,209.46,218.38,6%,0.12,208%
3124,Ramkrishna Forgings Ltd.,201503,Indian Private Sector,1981,743.86,429.52,218.22,96.12,647.74,314.34,13%,,16%
3125,Ramsarup Industries Ltd.,201503,Indian Private Sector,1979,4.38,5.41,55.25,-56.28,60.66,-1.03,-1285%,,21%
3126,Rane (Madras) Ltd.,201503,Indian Private Sector,2004,776.40,483.52,257.10,35.78,740.62,292.88,5%,,61%
3127,Rane Brake Lining Ltd.,201503,Indian Private Sector,2004,417.29,207.86,183.37,26.06,391.23,209.43,6%,0,51%
3128,Rane Engine Valve Ltd.,201503,Indian Private Sector,1972,397.89,167.43,224.86,5.60,392.29,230.46,1%,0,79%
3129,Rane Holdings Ltd.,201503,Indian Private Sector,1936,45.36,0.53,26.03,18.80,26.56,44.83,41%,,16%
3130,Rapicut Carbides Ltd.,201503,Indian Private Sector,1977,38.23,26.75,7.67,3.81,34.42,11.48,10%,24.8,16%
3131,Rapid Investments Ltd.,201503,Indian Private Sector,1978,,,0.09,-0.09,0.09,,,8.89,0%
3132,Rapid Metrorail Gurgaon Ltd.,201503,Indian Private Sector,2009,41.75,0.09,85.62,-43.96,85.71,41.66,-105%,0.02,21%
3133,Ras Cities & Townships Pvt. Ltd.,201409,Indian Private Sector,2005,,,,,,,,,0%
3134,Ras Resorts & Apart Hotels Ltd.,201503,Indian Private Sector,1984,7.66,0.03,7.12,0.51,7.15,7.63,7%,0,16%
3135,Rashtriya Chemicals & Fertilizers Ltd.,201503,Central Government,1978,7776.68,3696.95,3407.83,671.90,7104.78,4079.73,9%,,30%
3136,Rasi Electrodes Ltd.,201503,Indian Private Sector,1994,23.32,17.22,4.66,1.44,21.88,6.10,6%,499.84,32%
3137,Rasoi Ltd.,201503,Indian Private Sector,1905,0.00,0.07,2.54,-2.61,2.61,-0.07,,,0%
3138,Rasoya Proteins Ltd.,201503,Indian Private Sector,1992,461.88,426.22,55.36,-19.70,481.58,35.66,-4%,0,54%
3139,Rathi Bars Ltd.,201503,Indian Private Sector,1993,236.73,191.83,40.89,4.01,232.72,44.90,2%,2.04,12%
3140,Ratnaakar Infrastructure Ltd.,201503,Indian Private Sector,2010,,,0.17,-0.17,0.17,,,1.21,0%
3141,Ratnamani Metals & Tubes Ltd.,201503,Indian Private Sector,1983,1687.80,1140.55,287.19,260.06,1427.74,547.25,15%,,51%
3142,Rattanindia Power Ltd.,201503,Indian Private Sector,2007,617.32,360.43,268.63,-11.74,629.06,256.89,-2%,26.88,1099%
3143,Raunaq Automotive Components Ltd.,201503,Indian Private Sector,1983,107.62,46.26,49.85,11.51,96.11,61.36,11%,7.66,93%
3144,Ravalgaon Sugar Farm Ltd.,201503,Indian Private Sector,1933,35.27,30.86,13.01,-8.60,43.87,4.41,-24%,63.48,71%
3145,Ravikumar Distilleries Ltd.,201503,Indian Private Sector,1993,45.48,36.33,10.61,-1.46,46.94,9.15,-3%,,15%
3146,Raykal Aluminium Co. Pvt. Ltd.,201503,Indian Private Sector,1999,,,0.03,-0.03,0.03,,,21.37,0%
3147,Raymond Apparel Ltd.,201503,Indian Private Sector,2006,702.52,355.84,317.15,29.53,672.99,346.68,4%,910.64,38%
3148,Raymond Ltd.,201503,Indian Private Sector,1925,2678.79,1271.46,1249.66,157.67,2521.12,1407.33,6%,,47%
3149,Raymond Luxury Cottons Ltd.,201503,Indian Private Sector,2004,395.11,256.19,113.57,25.35,369.76,138.92,6%,,38%
3150,Raymond Woollen Outerwear Ltd.,201503,Indian Private Sector,2005,4.09,3.99,0.18,-0.08,4.17,0.10,-2%,,0%
3151,Real Strips Ltd.,201503,Indian Private Sector,1990,341.77,307.26,30.74,3.77,338.00,34.51,1%,,15%
3152,Real Touch Finance Ltd.,201503,Indian Private Sector,1997,0.00,0.01,0.13,-0.14,0.14,-0.01,,0,0%
3153,Reasonable Housing Ltd.,201503,Indian Private Sector,2009,1.64,,2.80,-1.16,2.80,1.64,-71%,,21%
3154,Reeti Investments Ltd.,201503,Foreign Private Sector,1992,,,,,,,,0.01,0%
3155,Refnol Resins & Chemicals Ltd.,201503,Indian Private Sector,1980,20.28,14.38,5.49,0.41,19.87,5.90,2%,,54%
3156,Regal Entertainment & Consultants Ltd.,201503,Indian Private Sector,1992,,,0.27,-0.27,0.27,,,,0%
3157,Regency Convention Centre & Hotels Ltd.,201503,Indian Private Sector,1998,,,0.01,-0.01,0.01,,,0.01,0%
3158,Regulus Power Pvt. Ltd.,201503,Indian Private Sector,2004,,,,,,,,0.06,0%
3159,Rei Agro Ltd.,201503,Indian Private Sector,1994,1855.77,6476.43,324.67,-4945.33,6801.10,-4620.66,-266%,,16%
3160,Relaxo Footwears Ltd.,201503,Indian Private Sector,1984,1480.21,652.24,667.98,159.99,1320.22,827.97,11%,,59%
3161,Reliance Ambit Trade Pvt. Ltd.,201503,Indian Private Sector,2006,0.00,0.04,,-0.04,0.04,-0.04,,,0%
